iter	Passed	Remaining
0	498	39386
1	633	24710
2	764	19628
3	885	16828
4	1066	15991
5	1187	14644
6	1322	13791
7	1448	13032
8	1574	12419
9	1700	11903
10	1823	11439
11	2012	11406
12	2164	11155
13	2284	10771
14	2409	10442
15	2529	10116
16	2655	9841
17	2771	9547
18	2887	9271
19	3117	9352
20	3307	9293
21	3428	9038
22	3545	8785
23	3663	8548
24	3787	8332
25	3911	8122
26	4071	7992
27	4193	7787
28	4320	7597
29	4442	7404
30	4568	7221
31	4684	7027
32	4809	6849
33	4938	6682
34	5198	6683
35	5354	6544
36	5496	6387
37	5731	6334
38	5925	6229
39	6150	6150
40	6307	6000
41	6516	5896
42	6718	5781
43	6860	5613
44	7183	5587
45	7449	5506
46	7571	5316
47	7690	5127
48	7865	4975
49	8024	4814
50	8188	4656
51	8438	4543
52	8592	4377
53	8833	4253
54	8963	4074
55	9269	3972
56	9535	3847
57	9658	3663
58	9782	3482
59	9895	3298
60	10062	3134
61	10291	2987
62	10452	2820
63	10578	2644
64	10696	2468
65	10818	2294
66	10939	2122
67	11311	1996
68	11536	1839
69	11774	1682
70	12030	1525
71	12251	1361
72	12371	1186
73	12499	1013
74	12760	850
75	13434	707
76	13621	530
77	13742	352
78	13883	175
79	13998	0
