iter	Passed	Remaining
0	228	247229
1	320	172947
2	587	211127
3	677	182431
4	706	152133
5	732	131275
6	752	115392
7	770	103307
8	805	95886
9	816	87413
10	834	81139
11	877	78171
12	921	75681
13	955	72838
14	1030	73255
15	1078	71810
16	1116	69873
17	1142	67487
18	1171	65499
19	1197	63534
20	1233	62268
21	1276	61434
22	1326	61006
23	1360	59935
24	1421	60064
25	1478	59979
26	1543	60249
27	1602	60276
28	1686	61197
29	1741	61012
30	1792	60706
31	1825	59848
32	1889	60001
33	1915	58998
34	1949	58263
35	1998	58011
36	2110	59557
37	2151	59058
38	2190	58512
39	2247	58485
40	2295	58229
41	2332	57705
42	2417	58356
43	2475	58342
44	2511	57829
45	2545	57268
46	2581	56783
47	2621	56415
48	2670	56238
49	2718	56048
50	2754	55631
51	2790	55227
52	2819	54692
53	2866	54521
54	2895	54012
55	2939	53799
56	3001	53923
57	3038	53598
58	3072	53224
59	3124	53173
60	3211	53701
61	3314	54480
62	3370	54457
63	3413	54234
64	3443	53830
65	3507	53946
66	3588	54302
67	3646	54317
68	3709	54408
69	3773	54499
70	3876	55147
71	3919	54920
72	3957	54643
73	4028	54824
74	4068	54578
75	4108	54334
76	4149	54109
77	4196	53956
78	4268	54145
79	4360	54560
80	4456	55018
81	4505	54894
82	4549	54705
83	4608	54696
84	4663	54649
85	4733	54768
86	4791	54742
87	4834	54548
88	4885	54457
89	4926	54251
90	4983	54218
91	5041	54198
92	5106	54245
93	5141	53981
94	5180	53769
95	5224	53610
96	5278	53550
97	5327	53435
98	5376	53332
99	5429	53260
100	5475	53125
101	5528	53060
102	5572	52911
103	5644	53030
104	5729	53254
105	5804	53391
106	5865	53389
107	5928	53409
108	5979	53323
109	6032	53253
110	6084	53173
111	6136	53091
112	6200	53113
113	6261	53115
114	6319	53083
115	6370	52992
116	6435	53021
117	6493	52996
118	6548	52939
119	6599	52853
120	6662	52855
121	6720	52825
122	6761	52665
123	6817	52618
124	6894	52729
125	7014	53164
126	7052	52973
127	7098	52850
128	7151	52774
129	7208	52731
130	7337	53212
131	7417	53328
132	7464	53208
133	7518	53137
134	7575	53083
135	7681	53376
136	7732	53282
137	7786	53209
138	7832	53083
139	7913	53190
140	7976	53174
141	8043	53189
142	8084	53027
143	8142	52985
144	8197	52915
145	8281	53034
146	8348	53043
147	8406	52996
148	8455	52889
149	8519	52875
150	8614	53053
151	8655	52899
152	8722	52902
153	8766	52772
154	8838	52804
155	8931	52959
156	8970	52796
157	9022	52708
158	9085	52683
159	9161	52736
