iter	Passed	Remaining
0	28	2830
1	71	3517
2	88	2867
3	102	2464
4	114	2184
5	123	1927
6	134	1790
7	146	1679
8	154	1559
9	165	1485
10	173	1403
11	184	1354
12	195	1310
13	204	1253
14	214	1218
15	224	1178
16	233	1142
17	245	1118
18	253	1082
19	265	1060
20	275	1035
21	284	1008
22	295	989
23	303	961
24	314	944
25	325	925
26	334	904
27	345	888
28	353	866
29	364	851
30	375	835
31	384	816
32	394	801
33	402	781
34	413	767
35	423	752
36	432	736
37	443	723
38	451	706
39	462	694
40	472	679
41	481	665
42	493	653
43	501	637
44	511	625
45	521	612
46	530	598
47	541	586
48	549	572
49	560	560
50	568	546
51	579	534
52	589	523
53	598	509
54	608	498
55	617	484
56	627	473
57	638	462
58	647	449
59	659	439
60	667	427
61	678	415
62	693	407
63	703	395
64	713	384
65	725	373
66	735	362
67	745	350
68	756	339
69	765	327
70	775	316
71	784	305
72	794	293
73	805	283
74	814	271
75	825	260
76	836	249
77	846	238
78	857	227
79	865	216
80	876	205
81	887	194
82	895	183
83	906	172
84	914	161
85	925	150
86	936	139
87	944	128
88	955	118
89	963	107
90	974	96
91	985	85
92	993	74
93	1004	64
94	1013	53
95	1023	42
96	1034	32
97	1043	21
98	1053	10
99	1061	0
